,user_id,actual,predicted_ranking,precision
10,17,"[  892503   896085   913806   923559   928036   937489   944486   948670
   972229   978906   995242  1009344  1022827  1039287  1053016  1068719
  1079541  1109352  5569471  6533608  6534077  9487497  9553031 13877192
   832678   833351   842416   857849   923746  1082185  1117128  7409941
 17974316 17974317]","[ 1138596  5707857  1029743  1106523  5569230   916122   844179  1044078
  1126899  1070820  1127831   866211  1005186  8090521   878996  8090537
  5569471  1004906   854852   899624   986912   933835  1075368  6533765
  1081177  6034857  5585510   965267   834117   940947   983584 12810393
   913210   874972  5569845  5568378   999858   908318   985999   901062
  1040807  1018740  1110843   951412  1101010  1105488  1037840   880150
  1043751   857503]",0.6
11,18,"[  831628   907877   914697   995242  1118878  1128477  7441668  9677886
   923746 15716363   918039  1024629  1068943  1097532  1102248  1104343
  7466845 15596892   822945   839243   859075   880228   919704   948420
   951197   981760  1010766  1038743  1041259  1076239  1082185  1084349
  5569379  8160430 13672062 15452803  6533889   878715   925077 15626756
   853235   854852  1105616   834022   847270   886291   894494   897098
   951412  1029313  1116821 13877192  1017311  1052912  1084670 13945181
 15716195   819978   840361   909750  1053628  5575861  9364200]","[  924004  1055403  5567874  5568072   939860  1117128   944486  1117602
   894360   896085  1008814  6533608   966619  1030406  1099164  1076516
   963971 12731432   872826   831181  6423786  5574377  7409941   858373
  1138596   832442  1047686   909497  1118046   820612  1132968  1054080
  1061732   904105  1048332  1074223  1087851   894439  6533362  8019628
  1091865   924129   867219   935993   980263   862866  1009770  1095374
  1038721   882190]",0.6
12,19,"[  830960   831628   835300   840102   844179   847677   859075   860776
   882288   900145   905217   916122   941741   944466   948898   962229
   966063   985427   988206   989069   991358   994928   999104   999270
  1026118  1028995  1029743  1029915  1031083  1033347  1037863  1048483
  1055646  1068292  1077276  1077490  1082185  1084211  1115896  1118787
  1137885  5568378  6533236  6979089 10285137 15596338  1096317   950998
   859592  1022003   826249 12325184   844165   965766  1043590  6533765
  6534178   943076  1042380  1055072  1068719  1070015 13871141   834833
   849701   866937   870547   882830   883404   913089   913785   940700
   961458  1021133  1043751  1054262  1062152  1076875  1083493  1106523
  1128698 13189726 15596379   877827   909894   963517  1074271  1074333
  1081262  5564931  6533608   858373   822241   833556   838794   847790
   853643   861701   863447   870780   878880   883932   885463   914513
   918335   923746   926233   926318   939900   951526   951746   972742
   977886   989075   993441  1001827  1004950  1043128  1094955  1099905
  1104546  1106601  1118481  1137387  5592931  7441191  8090610 12524174
 12946027 15926927 10355883   879755   947147  1033615  1127025   834117
   835243   853522   855138   859010   859259   866211   871061   874972
   880377   921504   927110   964254   976335  1004906  1041616  1043301
  1044078  1081177  1096667  1109948  1130458  1131438  6391163  8065410
   827180   837304   839162   850673   905537   951561   969866  1008547
  1013321  1029624  1043766  1058779  1068705  1110292  1127758  5591154
  9527542 12811532 13003092 13008334 16223193   905913  1033142]","[ 1128477  1022066   921277   841606  1065017   831937 12352201   938118
   961620  1006906  1134483  1119634   969403   953539   914577   921438
  1053628  1029313   925694   954525  1007210  5576075  6464165   870929
   835278   949257   918046  6463482  1108094  8292967  1134398  1077717
   900379  8203757 13071902   837644   829722  6633210  9885544  1101378
   897671   979674  9837501  1088910  8292958   934172  1100379   860317
  1106117   925766]",0.6
13,20,"[  819112   944419   945611   971684  1025522  1058997  5592931  1002850
  1075368  1126899  8090536   821556   823758   865330   866292   878637
   878732   905217   995645  1010424  1116242  6772859 10149303 10457177
  5979156 15512011 15716530   883404  1086740  1103823  1013807 15595834
  1053460  6533765  6534178  1117034  7168739   849202   878888  6602478
 13512876  5563752  5564471  6443283   913785   941532   995965  1016709
   875502   901772   931015]","[ 928932 8090610  930385 1057168  914245 1121256 5568860  917427 1068957
  824796  957080  985605 6391089 1048727 5566716 8203710  976335 9677447
 9677923 5568732 1134152 1132789 1137387  933918  905087  947201 1017896
 6034577  910673  993826 5575861 1019247 5566717  854133  826666 1123106
 1121720 1099905 5582712 6463710  928749 1104349 5568072  998519 9297055
 1027068  998741 1021519 6464069 6533236]",0.6
14,22,"[ 6534178   826249   849470   858743   916758   935968  1010578  1075175
  1119830  1120362  5568489  5569845  5978656 13158992 13945244 14050714
   840173   860362   884120  1075505  1137540  7441679 16769972   825749
   840102   841220   858439   869874   880150   897270   904360   906763
   912457   912704   932182   944836   947220   956373   962161   977033
   995965  1018339  1059473  1070820  1082185  1117358  1130177  6039994
  8144652 13115981 15506577 15511891 15925349   898494   927191   976199
  1009567  1023473  1025641  1073775  1104604  1120511  8119297 12756877
   827656   903674   930602   943286   991874   995645  1001702  1011259
  1047619  1051110  1057124  1071733  1075074  1087660  1092160  5569374
  6464020  7410013 13876403]","[  894360  1123106  6514259  1055425 12352249 12352364  1075368   999090
   935578  1111786   884686   930137  9831882   910109   901772   978343
  1061747  9677447  1099905   995628  7146026   944836  1051718  1057168
   958023  5565802 13213470  9488065   861246  1006878   868909 10285022
  1043920  1016709   828588  7152319  8293447   959482   999720  5568197
   929018  6633273   951169  8019628   851447  9297177  1126899  8273833
   906830 10198511]",0.6
15,23,"[ 1034176  9487286   851819   969568  1032297  1097018 13034781   849202
  1075368]","[ 6904419  5569135   835578  1049735   861494   852015   969945  1031864
  8069336   984575   880895  1013389  8118517  6464180   958594   849297
  9526671 13381584   924667  5592261   938138   859154  1094308  1038663
  1042544   999779  1117219 12262778  6533765   874972  1106523  1044078
  5707857  1029743  5569230   916122   844179  1126899  1070820  1127831
   866211  1005186  8090521   878996  8090537  5569471  1004906]",0.6
16,24,"[  831815   844165   849843   853904   903230  1011832  1022003  1036501
  1050229  1056762  1061971  1068719  1092026  1096036  1119879 13189726
 15717278 15926638 15926863 15926887 15926910   859237   964977  1009368
   832185   986912   993638  1013528   863885   871756   877447   921504
   935993   992956  1041796  1077587  1087851  1101010  1106523  1113588
  1118393  1132771  7441873  7442008  7442307  8203451 12988031 13512017
   883404]","[ 1104349  1018339 12301051  6978854   972445  1059347   991874   897088
   995816  1010578   906443  1076954   897270   990354   939860   894360
  1047619   968992  1082185  1071733   849066  7441419  1086274  8090556
   925766   904105   830783   824758   841584  1110743   827656   928640
   909138  8090549  6034577   909002   915064   921836  1007210   880234
  5590965  1046756   921504  1119830  1132789  1072437   854716   944836
   958676  1061614]",0.6
17,25,"[  885863   948509   992542   850841   866140   929018   958023   979877
   989101   991442  1000002  1029743  1035386  1075175  1110244  1113584
  1135768  5568378  9526431 12301100 12731623 13213122   855310   892920
   964871  1070845  9487421  9487423  1004909 13008065  5567037   934676
  1027039 16733475  6534178   877226]","[  958023  1138858  1000925   906335  1131830  9420181   977927  9831557
  1053022   820486   934399  1098892  1005274  1029688  1106117  1139782
  1075368  1091520   836703  1131490   834435  5569376   831937   896809
   886395  7167963   908408  1034176   956902  6632764   978343   873044
   998519  5576075  1008288   890909  1044500 13158992   880888  1057168
   876815   936914  1003158  1138682   993912  1051468   906905  1065860
  1065538  1096290]",0.6
18,26,"[  869150   961979  1013572  1042438 13382327 13115539   937454  9297154
   991064  1094280  5996608  9654982]","[  970152  1008814  1032703  1054185  9835619  5568661  1016800   930385
   935993   926905   968359   985605  1124695   905087   947013 10341855
   973181  1086740   928640  1095970   976335  1021715  1057168   886686
   959830  1013245  1033769  9469110  1133556  1031831  9803601   987234
  1057231  1094308  5587656  1059473  1072685  1013407  1110057  8358933
  1107039   844462  1037840  6534578  5592610   896666  1130452   932863
   870547   863885]",0.6
19,27,"[  883186  1005861  1016302  1052833  1057777  1062860  1077409  7409957
 10182813   959409   996425  9419470 17214679  1082185  1004436  1046584
   897449   959345  1003836  1029252  1059308  7167249   918733  1017982
  1133072  1138423  1019479 15927661  1048373  1101589   881529 17214971
   907491 12673243  1065669 12599756 12731808 13095517  5566804 13189890
 14025461   949965  1054383  1031923 13133557   943833 13190283  1002558
  1136741]","[  958023   854133  1075786   914245   973016  1057168 12427353   906844
  5567037  1097001   945199  9364612 13008065   980943   904812  1138596
   890955  1110695  1043971   916143   953609  5567231   929018  1046201
  1067695   941515   844818   920833   979877   944938   880234   949257
  1082212   999613   944317  1065670  6442531  6513713  1110721   851129
   923169 12949590 13190524   889759  1030182   822225  1035143   937995
   982449   959931]",0.6
20,28,"[  870882   944419  1111623 13416117   826004   896444   897493   913785
  1058185  1074594 13115551 13506200   926646  9655215   820352   877111
   883404   894357   903567  6533911  8090546 13039165 13213604 14025442
   827631  5996184 13007514   839243  1054056  1069979  1080601  1125724
  9270757 15717069   916122   964968   970869  1005186  6534030  6534881
  8119129]","[  978129   917393  1097280  1083043  1020604  8019216   823099   975085
  1081533  1038462  5572898  1118036   977654  1017195   851819   913278
   950935  5592694  5574358 13910163   870882   862318  5995101   972235
   869916  1013132   833273   924165   982955   976335   992650   830024
   854373  1026550   920626 12352089  1103187   967144   895680  1049372
  7144136  1117358   931324   843558   956284   977798  1036297   901061
  1074575  1124077]",0.6
21,29,[ 836793  847270 1061933 1065538 1091365 1110843  970869],"[1057168 1058709  963686 1102416  972416 1036939 1102250 1084796 1006664
 9245108  919535 1077133 1098284  911017  908314 1048373  960421  977374
  905087 1000925 1134296 9677447  904493 1036486  944564 9655676 1135219
  894439 9859017  923670  975649 1008324 9676721 1135468 8019902 1085637
 1131438 1098910 7169090 9296849  830615  982537  829722 1095393 9677093
 9677270  880888  982743 1084342  892573]",0.6
22,30,"[  823758   833025   840361   852793   873203   881805   914190  1018316
  1031633  1040781  1049708  1078346  5585701  5591083  6463742  6534480
  7409582 12810389 12946027]","[ 9859017   992730  6533368  8090546  8090556  6533911   854900   870882
  1117219  8181555   964221  8181451  7024847   896666  9392953   904815
  1035676  5564067  8019916  7168058  1047525   835619   856215  8203354
   873577 12672980   968391   977927  7167837 13416117  1045885  1071343
   843819 14106445   984575  1084310 13073225   845265  1043187   849090
  8203757  1045437   821890  1026058  1029313  9487286   941883  9526344
  1063207  1100927]",0.6
23,31,"[  855916   948239  1054424  1126899  5570383   982469  5569230  5570467
  5571261 15452705  6534178   819765   841220   847982   859075   896085
   898847   909714   919427   921288   921744   968480   971709  1013503
  1013641  1040807  1044895  1055504  1056492  1082185  1095100  1096290
  1117723  1132789  1135578  1136257  5978656  7166865  7169088  8249443
 12673433  1082990   819978   860975   874058   900842   976199   978306
   981760   992786   997907  1007434  1010676  1058779  1063577  1077410
  1081582  1085780  1123556  1136397  1138487  7166839  7409621]","[ 891505  879373  847803  981900  950894 1060193  938165 6632283  982537
 1083446  998236  978077 6443350  936753  968992  891956  849129 1005202
 8181555  943169 8358933 1086740  991932 1076842 6464069  845914 1057113
  991303 8019916 1065871  898763  837005 6552862  878715  930283  835619
  970869 9677149 7168293 6391532 1064299  851569 1069566 1037076  837864
 6464147  958233  943905  973002  880284]",0.6
24,32,"[  827631   894499   908846   957190  1053690   850633   856619   953476
   960551  1057378  1074172  1085872  1086942  1098815  1133533  1137484
  6442762 12673066  9221327   821867   824005   866149   868947   878996
   901452   904755   905868   907014   911088   919158   932179   947267
   981760   990688   991575   995785   999744  1004906  1024319  1025454
  1029723  1045285  1051402  1058997  1068715  1092354  1096343  1118479
  5587938  6979526  7168890  8293440  8293898 15452082 15452457]","[ 918046 6391557 1062572 6443350 1011861  995311 5566121  945199  835618
 1120928 1109192 1087785  827667 9546982 1025581  837751  844697 1016276
  910473  936355 1025535  957736 7024847 1051323  909714  908318  930118
  854405 1005186 1106523 5707857 1029743 5569230  916122  844179 1044078
 1126899 1070820 1127831  866211 8090521  878996 8090537 5569471 1004906
  854852  899624  986912]",0.6
25,33,"[  985119  1106523  9189920 15972074   892580  1044299  9487572  9575181
 12172193]","[ 1012801   864279   896666  1063739  9653535   894360  5571261  1121808
  7169088  7409622  6534201  9297615  1020770  1029125   921438   968992
  1054483  1069256  1062128  5574045  6034577  1116050 12385374   953180
   824796   898847  1055022  1058404   913144   891632   965679  5570383
 13775274   934394  1034511   978906 12352201   829722  5566235  1085044
  1131382  5564948  6554400   939789   970028  7166866   933809  1120508
  1111722  7166865]",0.6
26,34,"[ 831390  859154  908531  973476  981760 1029743 1050851 1081177 1092026
 9835619]","[  279994   908312   868888  5995603  1012801   957938  6552318  1024319
  1068291  1087081  5572234   949257   959737  1057168  8090546   901772
   935993   950463  1003649  9836752 10456164  1094924  1055022  1131625
  5577022  8293447 10457044 13777408  6463649  8292967   872177   894360
   873044   926422  1070782   948640  9368337   822259   850676  1128539
  1135195  6979415   906611  1048068  9835619   880234   876815   907418
   898867  5566697]",0.6
27,35,[1089888 5591609 6423775],"[ 1117219  9831469  1084036  1119634  1088683  1028230 13910296  1116682
  1096728   906830  1012514   868645  6552862   951227  1002418  1075032
  9526846   898342   969977  1088414  7167687  7025094  1047619  1134152
 13003092  1136486  1048237  5564901  1007136  1038663  1037337  1025611
   884945  1059902  1053754   836445   865174   902377   910151  1025535
   847573  6533765   871061  1133254  1042544   865528   944534   983584
   986912  1005186]",0.6
28,36,"[ 1084310   845082   860140   949196   962229  1051093  1097991  7409970
  8019396 16769338   830750   863885   865174   865705   870547   883404
   969568   977497   995628  1029743  1038692  1085920  5564901  5587133
  1025457 14074037  1070618  6553737   889711   913038   995242   836619
  1097294  8180884  9837325   834662   848029   871061   878996   925626
   940947   944317   962568   965638  1011215  1024306  1026011  1089066
  1104649  1115576  1122447  7443348  9420068 10455568 13777278  1110843
   865233  1013899  7161379 15973135   909714   934172   939605   957164
  1045154  1067779  1113141 13945201 17105006]","[7168058 1048445  948225  829722  972219  830203  917387 1056005  904236
 1003364 1138474  919534 1096635 6552318 1096794  847573  993638 1068957
  907631 6533765  986912  834117  916122 1029743 5707857 1106523 5569230
  844179 1044078 1126899 1070820 1127831  866211 1005186 8090521  878996
 8090537 5569471 1004906  854852  899624  933835 1075368 1081177 6034857
 5585510]",0.6
29,37,"[  840634   844165  1073120  1092026  5569792 15595711  6534178  1067695
  1097001]","[  953539   956902   864335  9570062  9419960   982955  1033857  6533911
  7168058  1138292  1040416  1010950  1123045   962967   994223   995004
  6464165  6034577  6534030   830203  1017772  1019078  5565202   853037
  1104205   832442   941515   947201   908504  7441191   993826  1092885
   885697  9521787   858514 13841744   837270  1110244  6534578   868548
  8119101   866540   819978  1005921  1074754  1077373   930344   846823
  6534035  7135183]",0.6
30,39,"[  833119   838859   840361   889994   892768   896799   979987   999318
  1034686  1077373  1080014  1082185  1126899  9677484 12524019 12524365
   872137   924610  5577030 13910086   835098   932741   942817   961020
   971949  1013807  1041259  1042421  1049708  1071513  1093113  1110700
  1127716  5566697 12524957   933633   836181   845208   860037   873627
   888835   904283   907014   908145   929668   933303   941307   951227
   961554   962568   962967   964835   969836   971807   981760   988416
   995785  1011394  1017201  1025581  1101449  1115098  1121699  1137025
  5568249  6513713  6602697  7025203  7160231  9194491  9527257  9677886
 13213074 13504403 13512828 13945181 15452171 15596515]","[  865233   957938  1047076   849578  1007136   820301   999563   948640
  9392700  1117219  1009732   894360  1039923  1124732   826666   930137
  1118479 10457237 10284929   862725  1062117   879699   969568  5564901
  1101932  1110743   868888  1109249  1021715  1080472   880234  1106601
  6632283   887526   920900  6979248 12487356  1109192   850601   962229
  8019977   969945  7169089  7410168   851819  9677939   883819   970866
   998519   847066]",0.6
31,40,"[  821565   840361   859075   876115   897413   903325   907308   922895
   927191   928092   948190   953476   975324   986947   989339   994262
   995242   995785   995852  1037863  1042697  1047226  1056651  1061220
  1082185  1104343  1117824  1128240  5568845  7409845  8205731 12731518
 12731632 13416167 14024972 15597127 15971630   863505   900842   937573
   975644  1044895 10150194  6534178   834484   845208   845288   858439
   880150   893802   897954   904148   912873   932242   935824   947441
   962568   963868  1004250  1007746  1009567  1012816  1048962  1053304
  1053403  1075755  1076587  1076881  1113467  1131384  5566884  5583944
  5585735  5590287  6034857  7409698  9677478 12487752 12757544 15927935
   913210   926065  1083043  1112205  9913338   883404   884677   919681
   958046   961889  1012556  1029595 13186440   883202   961023   961554
  1068982 12582106  1055504  1133826   878996   884039   912676   921288
   939119   952981   973868   981686  1001680  1019212  1022956  1040898
  1043063  1067820  1079067  1082172  5584808  5585510  5588365  5591894
  7143068  7409951  7410215 10457101 13189958   835279   857503   874976
   890999   931635  1032961  6442787 10356542 12456375 13095651 13190142
   871188  1123454  9487987   838554   935086]","[1056212  898448 1132956 1073120 1067695 1097001  847962  916990  837495
 5574377 1134152  835499 1126786 1044259  973780 1058404 1138596  993327
  945909 1036093  972235 1129609 1128812 9836752  880888 1049372  960318
  898869 1027090 1138854 1128271 1127716 6391381  878857 1067606 1002771
 1021522  835973  966684  979707 1076056 7024847  948670 1127179 1122358
  909714  834117 1068957 1022097 8090537]",0.6
32,41,"[  852864   865705   909714   994928  1047619  1058068  1082185  1087754
  1120009  5995445  6034857  6633342  6961848  9419888 13072944   850058
   913210  1089184  5567502  5569376 10344971 12810393   821556   974250
  1051810  1096817  5585510  8181516 13133971   844740   862682   931608
   957951   991024  1044805  9651582 13189861 15717057]","[ 6395907   880050  1127716  6513713   838859  1069256  1062467  9416729
   957080  9655212   837495  1134152   993685  1122928  1138487   930918
  1012801   957164  9420067   834516   923670 13158992   859160  1089024
  1135219  1077600  1102003  1017369   938165   989275  1118547   834932
   883940   820341   949257   822225  5568249   885686  1007571   915064
   901916  1116050  1117219   983316   856553   904574   877391  9333734
  7142937  5569186]",0.6
33,42,"[  837569   976998  1117500 13190673   829621   839656   916122   943522
   990440  1064550  1135460  5995177  6602697 15717070 15717272  1051211
  1082185   855557   966695   981760  1060673  9834742 13190283   893811
   920432  1114604 13190153]","[  879194   964717  1083043  1112205   928263   970160   835279  1019637
  7409951   874853  9858847   961889  9419977   937403 12384779   843891
   880050   998519  5568845   916578  7410336  9419888   863505  5591777
   962777  1101959   969403  8118506  1036093  1048373   963286  1131384
  9833335  1055504  1072086 12757544  1082141  8273833   871570  1067954
   906883   879922  5578856   856942   977374  1092669  6602590   870515
  1133101   901253]",0.6
34,43,[ 899038  865330 1049918 1106523 1120741],"[ 1120009  6961848   843418  5569376  1098694   879699  9419888   878290
   999090   983897   864995   909714   847803 15717057 12985761  7409997
   958023  1026946  1124029  1075275 12517450   899736  5565447 13072944
  7169090   825703  6039994  1099802   964520 10341855  1094174  1077745
  6632283   957080  8293426  1091158 12262830  1070782   820321  9884204
   835796 12132685  1065129  1111786 13115375 13007264  1109014   909811
 12811532  1031831]",0.6
35,46,"[  823721   835618   853586   857503   898342   960732   969932   979523
   980864  1029743  1106271  5570383  7442551  7443166 16809173 12263016
 12263083 15717106   819518   823704   839243   839454   841159   845705
   846014   850102   857719   867188   869577   873902   874149   882247
   911812   923746   926916   942817   944249   944486   962568   987562
  1013503  1031633  1032873  1039682  1087433  1094619  1098066  7441725
  9268695  9523079 12605127 13094739   822046   871402   923723   949932
   955262  1031483  1071594  1084028  1127699  9487553   826249   830935
   834631   847025   849297   862335   897125   934369   950935  1043971
  1050534  1066069  1082185  1115098  1122358  1134552  5569327  8090519
 15926712 15926844   896862  1001702  1064536   823858   834117   866211
   878996   883932   927783   932242   962615  1045069  1046587  1121360
 12384806 12731632   823530   889649   999104  1074333  1087755  1135476
 12731466 15596145 15687070]","[ 1112766  5995177   877770  1060673   977374   943522   897671   962777
   878222  1098910   839656   901976   932462   946839   873715   842249
  9833335  1089568  1019832   843911  1138631   835296  6602697  1100049
  1062572  1007462  9926758  9832514   829621  9834742  1009837  1097350
  1006483   827578   903454   878290   958594  1092363  1109014   991874
   893867   912817   912451  1031087   866540   939860  1125278  1133254
 12263692  1068957]",0.6
